MAG,Class,Genus,L50 (kb),n_contigs,GC,MBP,comp,cont,QS
Green_AO.bin.3,Actinomycetia,Iso899,9.82,666,0.67591,4.602104,90.64,0.57,0.8779
Brown_AD.bin.5,Actinomycetia,Jatrophihabitans,6.431,678,0.71033,3.263097,76.22,3.02,0.6112
Brown_Q.bin.3,Actinomycetia,Jatrophihabitans,12.981,428,0.70223,3.672127,90.84,1.17,0.8499
Brown_K.bin.8,Actinomycetia,Mycobacterium,5.665,776,0.65371,3.642492,77.62,0.86,0.7332
Green_AP.bin.5,Actinomycetia,Nakamurella,2.777,1221,0.6925,3.132586,69.7,2.48,0.573
Brown_T.bin.8,Actinomycetia,Trebonia,3.216,1721,0.70751,4.945927,58.12,1.6,0.5012
Brown_Z.bin.2,Actinomycetia,Trebonia,4.306,1706,0.71351,5.863932,76.97,2.16,0.6617000000000001
Brown_AF.bin.2,Actinomycetia,NA,4.029,1457,0.67142,5.008583,69.25,1.23,0.631
Brown_P.bin.10,Actinomycetia,NA,4.845,1614,0.71972,6.166082,84.88,3.51,0.6733
Brown_R.bin.1,Alphaproteobacteria,Acidocella,4.523,811,0.60543,2.938442,76.02,0.12,0.7542
Green_AK.bin.4,Alphaproteobacteria,Acidocella,3.168,971,0.61623000000000006,2.576019,69.86,2.28,0.5846
Brown_J.bin.9,Alphaproteobacteria,BOG-908,11.925,320,0.6674,3.02699,56.9,0.86,0.526
Brown_R.bin.8,Alphaproteobacteria,BOG-908,5.663,654,0.64848,2.925572,70.42,0.5,0.6792
Brown_Q.bin.7,Alphaproteobacteria,CAHJWH01,8.573,402,0.71807,2.607749,83.93,2.38,0.7203
Brown_J.bin.4,Alphaproteobacteria,CAHJXG01,11.836,365,0.67958,3.29786,70.06,2.49,0.5761
Green_P.bin.6,Alphaproteobacteria,CAHJXG01,25.958,372,0.67742,5.627455,96.04,1.86,0.8674
Green_T.bin.4,Alphaproteobacteria,LMUY01,15.492,420,0.66822,4.437957,90.32,1.26,0.8402
Green_AP.bin.12,Alphaproteobacteria,Lichenicola,17.649,296,0.70286,3.333381,95.93,1.44,0.8873000000000001
Green_AP.bin.13,Alphaproteobacteria,Lichenihabitans,4.294,1061,0.69339,3.941059,73.63,2.45,0.6138
Green_AP.bin.3,Alphaproteobacteria,Methylobacterium,5.438,876,0.69427,3.982691,74.55,1.93,0.649
Green_AA.bin.3,Alphaproteobacteria,Novosphingobium,23.319,225,0.62692,3.555775,94.39,1.9,0.8489
Green_AP.bin.4,Alphaproteobacteria,RH-AL1,6.947,651,0.69233,3.205322,80.32,1.17,0.7447
Green_R.bin.1,Alphaproteobacteria,RH-AL1,7.568,515,0.68054,3.04417,84.29,2.27,0.7293999999999999
Green_AP.bin.1,Alphaproteobacteria,Rhizobium,14.898,569,0.61779,5.40608,89.23,1.67,0.8088
Green_AP.bin.10,Alphaproteobacteria,Sphingomonas,5.616,697,0.67728,2.991499,70.26,1.59,0.6231
Green_AO.bin.5,Alphaproteobacteria,Sphingomonas_N,5.786,841,0.67588,3.802072,79.87,1.94,0.7017
Brown_AA.bin.5,Alphaproteobacteria,NA,3.197,1059,0.64317,2.903217,65.61,2.82,0.5151
Green_N.bin.2,Alphaproteobacteria,NA,7.914,562,0.64062,3.414337,86.97,2.09,0.7652
Brown_AE.bin.7,Armatimonadia,JAFAZD01,4.511,1297,0.56194,4.832734,74.51,1.42,0.6740999999999999
Brown_J.bin.7,Armatimonadia,JAFAZD01,11.127,583,0.64478,4.718312,91.38,0.93,0.8673000000000001
Green_AP.bin.14,Bacteroidia,Hymenobacter,25.585,381,0.62106,5.630562,98.47,0.76,0.9467
Brown_AD.bin.3,Bacteroidia,Ilyomonas,11.775,547,0.42948,4.617253,97.51,0.77,0.9366
Brown_J.bin.5,Bacteroidia,Mucilaginibacter,10.551,482,0.4291,3.730379,91.57,1.11,0.8602
